icsd_ids,formula,material_id,nelements,nsites
1040,Li1Al1Cl4,mp-22983,3,24
656407,Tm3Fe2Ge3,mp-1208100,3,16
1054,Si1Ag8S6,mp-7614,3,60
1055,Cu2Cl2O1,mp-23516,3,10
656419,Li2Co12P7,mp-1191829,3,21
26262,Sr1P1,mp-7931,2,12
1063,Ho2Cu2O5,mp-5029,3,36
26264,Sr1As1,mp-1049,2,12
656433,Gd3B7W1,mp-1190670,3,22
656434,Tb3B7W1,mp-1191743,3,22
656435,Dy3B7W1,mp-1191614,3,22
656436,Ho3B7W1,mp-1191254,3,22
1077,Cs11O3,mp-562001,2,56
656438,Tm3B7W1,mp-1191016,3,22
1079,Mg1As4,mp-7623,2,20
1078,Ba10Al3Ge7,mp-27568,3,40
1081,Te1Mo5O16,mp-27531,3,88
1076,La2Cu1O4,mp-36480,3,14
1084,C2S3N2,mp-540807,3,28
1085,Ga2Te5,mp-2371,2,7
1086,Mg2Ge1O4,mp-3904,3,14
1088,H1S1N1,mp-29349,3,48
1089,Ti1Si2,mp-2582,2,6
1093,U1O3,mp-294,2,32
1096,P2Pd15,mp-27533,2,17
1101,Sm3Rh2,mp-17391,2,15
1105,Cr1P3O9,mp-554600,3,52
1106,Sm3In1S6,mp-21604,3,40
1107,U1Br1O2,mp-27536,3,8
1108,Na2Te1O4,mp-27537,3,28
1110,Pu31Pt20,mp-680426,2,102
1113,Li2Cd1Si1O4,mp-557293,4,32
1117,Na1Cl1O3,mp-23330,3,20
1118,O8Na7Fe3,mp-18917,3,36
1119,Rb2Zn1O2,mp-555977,3,40
1120,K2Zn6O7,mp-559112,3,30
1121,Sb1N1Cl8O1,mp-1197652,4,88
1123,Li1P3Pb1O9,mp-559627,4,28
1128,Ba1I1F1,mp-22951,3,6
1129,Ba1Br1F1,mp-23070,3,6
1130,Ca1Cl1F1,mp-27546,3,6
656492,Ho2Fe17,mp-1196975,2,38
656493,Er2Fe17,mp-1724,2,38
1133,Ni1Mo1P1,mp-7632,3,9
1135,Li1H6N1O6,mp-23906,4,28
656494,Y2Fe17,mp-1196012,2,38
656497,Sm1Ag1S2,mp-1205094,3,32
1137,K1Cl1O4,mp-23526,3,24
1139,Rb2Mn1Cl4,mp-22978,3,7
1140,Ca1H12Cl2O6,mp-23914,4,21
656498,Dy1Ag1S2,mp-1200233,3,32
1142,Cs3Bi2Br9,mp-27544,3,14
1143,Cu3P2O8,mp-4093,3,13
1144,Na1N3,mp-22003,2,4
1146,Fe2W1O6,mp-22124,3,36
1151,Ba2Mn1Te3,mp-16905,3,24
1152,Ag1Au1Cl4,mp-570340,3,12
1153,Na2Cu1P1,mp-7639,3,8
1154,K2Ag1As1,mp-7642,3,8
656524,Zr2Fe1,mp-1159,2,6
1165,Os1Cl4,mp-571035,2,5
1167,Fe2O2F5,mp-1188385,3,18
1167,Fe2O2F5,mp-1190371,3,18
1168,Zr1Br1,mp-504594,2,4
1177,Ba3Ni1Sb2O9,mp-18611,4,60
1178,Sr2Cu1Br2O2,mp-546898,4,7
1179,La2Ni1O4,mp-21326,3,7
1180,Li8Sn1O6,mp-4527,3,15
1181,Cs2Pr1O3,mp-7646,3,12
1182,Rb2Tb1O3,mp-13735,3,12
1194,K1B1C1F6,mp-559721,4,36
1197,Co5P2O12,mp-1203728,3,76
1198,Mn5P2O12,mp-1201965,3,76
1199,Tl1Pb1I3,mp-27552,3,10
1201,B1H2N1Cl2,mp-720847,4,72
1203,Sr5Sn3,mp-17720,2,16
1207,U1H10N2O7,mp-720295,4,80
1221,Cs1Cd1P3O9,mp-13738,4,56
1222,Eu4As2O1,mp-1077953,3,7
656584,Sm1Zn1Ni1,mp-1078641,3,9
1224,Tb1H3O3,mp-24121,3,14
656586,Dy1Zn1Ni1,mp-1079341,3,9
656587,Er1Zn1Ni1,mp-1078524,3,9
1230,Ba1As4O14,mp-1196154,3,38
656594,Ce1Cd1Cu1,mp-1079017,3,9
656595,Pr1Cd1Cu1,mp-1084809,3,9
656596,Sm1Cd1Cu1,mp-1079797,3,9
1236,Ho1Al1O3,mp-4891,3,20
1238,K3Si1Te3,mp-7657,3,14
656599,La1Cd1Pd1,mp-1078614,3,9
1239,Rb9O2,mp-27561,2,22
656600,Ce1Cd1Pd1,mp-1079977,3,9
656598,Dy1Cd1Cu1,mp-1078853,3,9
1242,Cs1W1Cl6,mp-30974,3,16
1244,In5Bi3,mp-23180,2,16
656602,Sm1Cd1Pd1,mp-1079744,3,9
1237,Ba1Si2,mp-7655,2,3
656615,Y11Ni60C6,mp-570148,3,77
656616,Dy11Ni60C6,mp-1202044,3,77
656617,Ho11Ni60C6,mp-1204867,3,77
1256,Ge1S1,mp-2242,2,8
1262,Tl3Pb1Cl5,mp-30519,3,36
1263,K2S3,mp-7667,2,10
1264,K2Se3,mp-7670,2,10
1266,Cs1Nb1O3,mp-27556,3,40
1267,Cs1Fe1Cl4,mp-27570,3,24
1269,Bi1F3,mp-23237,2,16
1270,Rb1Sc1O2,mp-7650,3,8
1271,Pb1Se1O3,mp-20716,3,10
1275,Te5O4F22,mp-27575,3,62
1282,Ba1Al2Ge2O8,mp-556178,4,52
656643,Tm2Fe17,mp-30640,2,38
656645,Y2Co17H3,mp-1191845,3,22
1286,La1Fe4P12,mp-582295,3,17
1287,Y3Ni2,mp-582134,2,80
1285,K2Fe1F5,mp-554621,3,128
1292,Cu5P2O10,mp-27589,3,17
1294,Ca31Sn20,mp-680302,2,102
1295,Na1H3C2O5,mp-696174,4,22
1297,Ba1P2H4O8,mp-706400,4,60
1298,Pb1N6,mp-667338,2,84
1299,Si2Ag6O7,mp-561313,3,30
1302,Na1Br1O3,mp-23339,3,20
1303,Ca1Cu3Ge4O12,mp-17599,4,20
1305,C1Br4,mp-680422,2,80
1307,K1In2F7,mp-27599,3,40
1308,Na3B5H4O11,mp-720296,4,184
1309,Zr1H6O3F4,mp-706386,4,28
1310,Ca1Cr1H2O5,mp-24125,4,72
1311,Ag2Br1N1O3,mp-556345,4,28
1312,B1H3,mp-634117,2,16
1314,Mg1Mo2O7,mp-27604,3,40
1316,Eu3Sn2S7,mp-504621,3,24
1319,As1H18N3O7,mp-720294,4,116
1321,Li1H6Cl1O7,mp-23797,4,30
1322,Be4Te1O7,mp-27608,3,12
1324,Ce1S2O12,mp-1201840,3,60
1331,Sc1As1,mp-2052,2,2
1335,Sc1Sb1,mp-549,2,2
1340,Mn2Se3O12,mp-1197378,3,68
1342,Mn1Se3O8,mp-1205179,3,48
1343,Cs1Cd1Br3,mp-541899,3,10
1345,Ti5Sb3,mp-22033,2,32
656705,Nb2C1S2,mp-5745,3,5
1350,Hg1S4N3Cl3,mp-669471,4,44
1351,Na3B1O3,mp-30975,3,28
1358,K1Sm2N7,mp-1197477,3,40
1359,K1Ca1H6N3,mp-720856,4,44
1365,Ba2Ti6O13,mp-7733,3,21
1372,Cr1H1O2,mp-23910,3,16
1375,Gd1P1S1,mp-1191365,3,24
1377,Cd1Br2O4,mp-1104364,3,14
1382,Cd1P2H6O7,mp-24407,4,32
1383,Sn3Br1F5,mp-23452,3,36
1384,Li1S1O3F1,mp-7744,4,12
1385,In2Te5,mp-1197742,2,42
1386,Na1B5H4O10,mp-721294,4,80
1390,Hg3Cl2O2,mp-540645,3,56
1391,Ca1I2O6,mp-27535,3,36
1394,Re1H4N1O4,mp-24128,4,20
1397,Cd1I2O6,mp-27640,3,36
656763,Tm1Mn6Ge6,mp-5641,3,13
1404,Ba3As14,mp-524,2,34
656765,Lu1Mn6Ge6,mp-3400,3,13
656768,Lu1Fe6Ge6,mp-18450,3,13
1410,Na4Fe1O3,mp-19026,3,16
656770,Tb1Fe6Ge6,mp-21565,3,26
1412,K2Pb2O3,mp-20694,3,14
1411,Li4Pb1O4,mp-22170,3,18
1414,V1Cu3S4,mp-3762,3,8
656774,Tm1Fe6Ge6,mp-1197758,3,39
1417,Sb4S7N2,mp-1179822,3,104
1422,Sb2O5,mp-1705,2,14
656786,Ce1Si2Ru1,mp-1025521,3,8
1429,Ba2Bi1Sb1O6,mp-23127,4,10
1430,Ba1Bi1O3,mp-22942,3,10
1434,Zn2P3S9,mp-27656,3,28
1435,La1S2,mp-1508,2,24
1436,Na1H1S1O4,mp-634378,4,28
1441,U1H12N2O8,mp-696181,4,23
1443,Sr1Ga2Si2O8,mp-6198,4,52
1444,Ba1Ga2Si2O8,mp-6759,4,52
1445,Ba1Ga2Ge2O8,mp-542459,4,52
1446,K2Be1C4O8,mp-557246,4,60
1447,Cs3Sb2I9,mp-23029,3,28
1448,Cs3Bi2I9,mp-624214,3,28
1449,Ba3Si1O5,mp-7765,3,18
1452,Sn1N1F3,mp-1079200,3,10
1453,Ca1Si2,mp-862,2,6
1455,Sr1Si2,mp-1727,2,6
1457,Sc2Si2O7,mp-7640,3,22
1458,In2Si2O7,mp-19784,3,22
656822,Pr2Ni22C3,mp-1198597,3,108
1462,Ti2O3,mp-458,2,10
656824,Sm2Ni22C3,mp-1199812,3,108
656826,Tb2Ni22C3,mp-1202495,3,108
656827,Dy2Ni22C3,mp-1197710,3,108
656828,Ho2Ni22C3,mp-1205259,3,108
1473,V2O3,mp-18937,2,10
656838,U1Co1P2,mp-1091407,3,8
656839,U1Fe1As2,mp-1087511,3,8
